"Device ID" "Device Name" "Received At" Temperature Humidity
A84041274A59D771 EMAP_322 "2025-01-23 23:05:00" 17.99 54.3
A84041274A59D771 EMAP_322 "2025-01-23 23:10:00" 17.99 55.7
A84041274A59D771 EMAP_322 "2025-01-23 23:15:00" 18.07 56.5
A84041274A59D771 EMAP_322 "2025-01-23 23:20:00" 18.05 54.6
A84041274A59D771 EMAP_322 "2025-01-23 23:25:00" 18.01 54.0
A84041274A59D771 EMAP_322 "2025-01-23 23:30:00" 17.98 55.5
A84041274A59D771 EMAP_322 "2025-01-23 23:35:00" 18.04 56.1
A84041274A59D771 EMAP_322 "2025-01-23 23:40:00" 18.05 54.7
A84041274A59D771 EMAP_322 "2025-01-23 23:45:00" 17.97 53.7
A84041274A59D771 EMAP_322 "2025-01-23 23:50:00" 17.95 55.6
A84041274A59D771 EMAP_322 "2025-01-23 23:55:00" 18.01 56.6
A84041274A59D771 EMAP_322 "2025-01-24 00:00:00" 18.02 55.5
A84041274A59D771 EMAP_322 "2025-01-24 00:05:00" 18.02 54.3
A84041274A59D771 EMAP_322 "2025-01-24 00:10:00" 17.95 55.7
A84041274A59D771 EMAP_322 "2025-01-24 00:15:00" 17.99 56.5
A84041274A59D771 EMAP_322 "2025-01-24 00:20:00" 18.04 55.2
A84041274A59D771 EMAP_322 "2025-01-24 00:25:00" 18.01 54.1
A84041274A59D771 EMAP_322 "2025-01-24 00:30:00" 17.95 55.7
A84041274A59D771 EMAP_322 "2025-01-24 00:35:00" 17.98 56.6
A84041274A59D771 EMAP_322 "2025-01-24 00:40:00" 18.01 55.5
A84041274A59D771 EMAP_322 "2025-01-24 00:45:00" 17.99 54.7
A84041274A59D771 EMAP_322 "2025-01-24 00:50:00" 17.97 53.7
A84041274A59D771 EMAP_322 "2025-01-24 00:55:00" 17.92 55.7
A84041274A59D771 EMAP_322 "2025-01-24 01:00:00" 17.97 55.7
A84041274A59D771 EMAP_322 "2025-01-24 01:05:00" 18.01 55.2
A84041274A59D771 EMAP_322 "2025-01-24 01:10:00" 17.98 54.4
A84041274A59D771 EMAP_322 "2025-01-24 01:15:00" 17.98 55.8
A84041274A59D771 EMAP_322 "2025-01-24 01:20:00" 18.01 55.6
A84041274A59D771 EMAP_322 "2025-01-24 01:25:00" 18.02 54.7
A84041274A59D771 EMAP_322 "2025-01-24 01:30:00" 17.98 56.2
A84041274A59D771 EMAP_322 "2025-01-24 01:35:00" 17.99 56.2
A84041274A59D771 EMAP_322 "2025-01-24 01:40:00" 18.04 56.2
A84041274A59D771 EMAP_322 "2025-01-24 01:45:00" 18.01 55.4
A84041274A59D771 EMAP_322 "2025-01-24 01:50:00" 18.02 56.6
A84041274A59D771 EMAP_322 "2025-01-24 01:55:00" 17.99 56.2
A84041274A59D771 EMAP_322 "2025-01-24 02:00:00" 18.02 57.2
A84041274A59D771 EMAP_322 "2025-01-24 02:05:00" 18.05 56.8
A84041274A59D771 EMAP_322 "2025-01-24 02:10:00" 18.01 56.3
A84041274A59D771 EMAP_322 "2025-01-24 02:15:00" 18.01 57.7
A84041274A59D771 EMAP_322 "2025-01-24 02:20:00" 18.04 58.5
A84041274A59D771 EMAP_322 "2025-01-24 02:25:00" 18.05 57.0
A84041274A59D771 EMAP_322 "2025-01-24 02:30:00" 18.02 56.5
A84041274A59D771 EMAP_322 "2025-01-24 02:35:00" 17.97 58.7
A84041274A59D771 EMAP_322 "2025-01-24 02:40:00" 17.99 58.2
A84041274A59D771 EMAP_322 "2025-01-24 02:45:00" 18.05 58.0
A84041274A59D771 EMAP_322 "2025-01-24 02:50:00" 18.04 57.1
A84041274A59D771 EMAP_322 "2025-01-24 02:55:00" 17.99 56.8
A84041274A59D771 EMAP_322 "2025-01-24 03:00:00" 17.95 58.5
A84041274A59D771 EMAP_322 "2025-01-24 03:05:00" 17.99 58.6
A84041274A59D771 EMAP_322 "2025-01-24 03:10:00" 18.01 58.5
A84041274A59D771 EMAP_322 "2025-01-24 03:15:00" 18.04 57.5
A84041274A59D771 EMAP_322 "2025-01-24 03:20:00" 17.99 58.5
A84041274A59D771 EMAP_322 "2025-01-24 03:25:00" 17.99 59.1
